                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.81778,                 0.5868,                 1.1319,                0.80128,                0.77477,                 0.8313,                0.55147,                 1.1872,                0.77529,                 1.4688,             0.00025787,             0.00025787,             0.00025787
                     92,                0.81962,                0.59383,                 1.1302,                0.79136,                 0.8095,                0.84378,                0.57041,                 1.1745,                0.76259,                 1.4873,             0.00025375,             0.00025375,             0.00025375
                     93,                0.79951,                 0.5725,                 1.1231,                0.81332,                0.76523,                0.83614,                 0.5548,                 1.1873,                0.78632,                 1.4979,             0.00024963,             0.00024963,             0.00024963
                     94,                0.79081,                0.56902,                 1.1184,                0.79573,                0.77824,                0.83822,                0.55527,                 1.2127,                0.79957,                 1.5337,              0.0002455,              0.0002455,              0.0002455
                     95,                0.80846,                 0.5762,                 1.1222,                0.82433,                0.77404,                0.84206,                0.55859,                 1.1926,                0.78158,                 1.4988,             0.00024137,             0.00024137,             0.00024137
                     96,                0.78686,                0.55505,                 1.1072,                0.82861,                0.78253,                0.84057,                0.55921,                 1.1904,                0.77307,                  1.489,             0.00023725,             0.00023725,             0.00023725
                     97,                0.80752,                0.58942,                 1.1238,                0.83382,                0.77898,                0.83353,                 0.5466,                 1.2134,                0.79629,                 1.5163,             0.00023313,             0.00023313,             0.00023313
                     98,                0.78621,                0.56104,                 1.1135,                 0.8445,                0.75255,                0.82923,                0.54941,                 1.1964,                0.79228,                 1.5099,               0.000229,               0.000229,               0.000229
                     99,                0.78461,                0.55569,                 1.1087,                0.81098,                 0.7832,                0.83956,                0.55811,                 1.1903,                0.80826,                  1.509,             0.00022488,             0.00022488,             0.00022488
                    100,                0.79189,                0.56374,                 1.1178,                0.82142,                0.75697,                0.83551,                0.56085,                 1.1789,                0.79793,                 1.4891,             0.00022075,             0.00022075,             0.00022075
                    101,                0.77046,                0.54935,                 1.1091,                0.82949,                0.78482,                0.83891,                0.55727,                 1.1848,                0.77411,                 1.4939,             0.00021662,             0.00021662,             0.00021662
                    102,                 0.7614,                0.54289,                 1.0936,                0.82092,                0.77129,                0.83184,                0.55497,                 1.1966,                0.78686,                 1.5167,              0.0002125,              0.0002125,              0.0002125
                    103,                0.76092,                0.53953,                  1.102,                0.82774,                0.75973,                0.82866,                0.55315,                 1.2051,                0.80452,                  1.523,             0.00020837,             0.00020837,             0.00020837
                    104,                0.77056,                0.53704,                 1.0999,                0.86399,                0.74594,                0.83942,                0.55534,                 1.1907,                0.79937,                 1.5086,             0.00020425,             0.00020425,             0.00020425
                    105,                0.74921,                0.53195,                 1.0879,                0.84637,                0.76354,                0.83485,                 0.5641,                 1.1873,                0.80035,                 1.5138,             0.00020013,             0.00020013,             0.00020013
                    106,                0.74914,                0.52282,                 1.0891,                0.84312,                0.76743,                0.84201,                0.56697,                 1.1927,                0.79547,                 1.5245,               0.000196,               0.000196,               0.000196
                    107,                0.76053,                0.55465,                 1.1027,                0.79932,                0.79609,                0.84816,                0.56256,                 1.1974,                0.77188,                 1.5258,             0.00019188,             0.00019188,             0.00019188
                    108,                0.74691,                0.52903,                 1.0922,                0.84375,                0.78256,                0.84615,                0.56025,                 1.1996,                0.77362,                   1.52,             0.00018775,             0.00018775,             0.00018775
                    109,                0.75628,                0.53629,                 1.0942,                0.82564,                0.77221,                0.84294,                0.56087,                 1.1916,                0.77852,                 1.5131,             0.00018362,             0.00018362,             0.00018362
                    110,                0.74981,                0.52437,                 1.0866,                0.79365,                0.81355,                0.84229,                0.56218,                 1.1889,                0.77976,                 1.5175,              0.0001795,              0.0001795,              0.0001795
                    111,                0.74408,                0.52646,                 1.0865,                0.80891,                0.80767,                 0.8386,                0.56003,                 1.1873,                0.76089,                 1.5233,             0.00017538,             0.00017538,             0.00017538
                    112,                0.73442,                0.51107,                 1.0843,                0.82403,                0.80161,                0.84936,                 0.5677,                 1.1769,                0.76325,                  1.512,             0.00017125,             0.00017125,             0.00017125
                    113,                0.72987,                0.51549,                 1.0846,                 0.7973,                0.81502,                0.84776,                0.56278,                 1.1859,                0.75854,                 1.5234,             0.00016713,             0.00016713,             0.00016713
                    114,                0.73147,                0.50972,                 1.0838,                0.80621,                 0.7892,                0.83794,                0.56006,                  1.192,                 0.7559,                 1.5333,               0.000163,               0.000163,               0.000163
                    115,                0.73286,                0.51307,                 1.0835,                0.82614,                0.77392,                0.83353,                0.55511,                 1.1872,                 0.7742,                 1.5231,             0.00015888,             0.00015888,             0.00015888
                    116,                0.72298,                0.50178,                 1.0676,                0.80556,                0.79137,                0.83056,                0.55757,                 1.1914,                0.77015,                 1.5342,             0.00015475,             0.00015475,             0.00015475
                    117,                0.70443,                0.49565,                 1.0654,                0.82812,                0.75051,                0.83598,                 0.5543,                 1.1972,                 0.7691,                 1.5284,             0.00015062,             0.00015062,             0.00015062
                    118,                0.70797,                0.49208,                 1.0615,                0.80482,                0.79363,                0.83931,                0.56592,                 1.1864,                0.74762,                 1.5224,              0.0001465,              0.0001465,              0.0001465
                    119,                0.71148,                0.49716,                  1.065,                0.81912,                0.77502,                0.83593,                0.56273,                 1.1823,                 0.7692,                 1.5229,             0.00014237,             0.00014237,             0.00014237
                    120,                0.70483,                0.49034,                 1.0602,                0.83277,                0.78321,                0.83977,                0.56767,                 1.1721,                0.74996,                 1.5098,             0.00013825,             0.00013825,             0.00013825
                    121,                0.70513,                0.50075,                  1.064,                0.83595,                0.77379,                0.83564,                0.56589,                 1.1826,                0.76773,                 1.5302,             0.00013413,             0.00013413,             0.00013413
                    122,                0.69694,                 0.4933,                 1.0656,                0.80839,                0.80595,                0.84037,                0.56873,                 1.1822,                0.77553,                 1.5255,                0.00013,                0.00013,                0.00013
                    123,                0.69589,                0.47712,                 1.0563,                0.83382,                 0.7752,                0.83905,                0.56494,                 1.1769,                 0.7569,                 1.5232,             0.00012588,             0.00012588,             0.00012588
                    124,                0.68847,                0.47379,                 1.0531,                 0.7975,                0.82074,                0.84177,                0.56738,                 1.1748,                0.75314,                 1.5202,             0.00012175,             0.00012175,             0.00012175
                    125,                0.68756,                0.47455,                 1.0538,                0.82077,                0.77627,                0.83614,                0.56425,                  1.177,                0.77978,                 1.5246,             0.00011763,             0.00011763,             0.00011763
                    126,                0.68968,                0.47277,                 1.0522,                0.79619,                0.81004,                0.84049,                0.56797,                  1.181,                0.74957,                 1.5342,              0.0001135,              0.0001135,              0.0001135
                    127,                 0.6825,                0.46264,                 1.0571,                 0.8003,                0.80105,                0.84248,                0.56549,                 1.1973,                0.77562,                 1.5514,             0.00010937,             0.00010937,             0.00010937
                    128,                0.67384,                0.46545,                  1.049,                0.80991,                0.80253,                0.83555,                0.56697,                 1.1731,                0.75747,                 1.5287,             0.00010525,             0.00010525,             0.00010525
                    129,                 0.6706,                0.46325,                 1.0433,                0.83187,                0.78532,                0.83951,                0.56743,                 1.1863,                0.75157,                 1.5413,             0.00010113,             0.00010113,             0.00010113
                    130,                0.67464,                0.47386,                 1.0442,                0.82442,                0.78302,                0.83879,                0.57082,                 1.1826,                 0.7445,                  1.546,                9.7e-05,                9.7e-05,                9.7e-05
                    131,                0.66279,                0.45395,                 1.0419,                0.83367,                0.77634,                 0.8363,                0.56649,                 1.1783,                 0.7659,                 1.5434,             9.2875e-05,             9.2875e-05,             9.2875e-05
                    132,                0.67529,                0.46112,                 1.0488,                 0.8014,                0.80719,                0.83273,                0.56455,                   1.18,                0.77068,                 1.5467,              8.875e-05,              8.875e-05,              8.875e-05
                    133,                0.66486,                0.45373,                 1.0415,                0.83269,                0.79269,                0.84517,                0.57374,                 1.1729,                0.75576,                 1.5422,             8.4625e-05,             8.4625e-05,             8.4625e-05
                    134,                0.66558,                0.46371,                 1.0416,                0.80124,                0.82384,                0.83883,                0.56676,                 1.1899,                0.76881,                 1.5497,               8.05e-05,               8.05e-05,               8.05e-05
                    135,                    inf,                0.45596,                  1.045,                0.82206,                 0.7859,                0.84059,                0.56452,                 1.1854,                0.77149,                 1.5477,             7.6375e-05,             7.6375e-05,             7.6375e-05
                    136,                0.66704,                 0.4627,                 1.0463,                0.83288,                 0.7926,                0.84132,                0.56552,                  1.183,                0.77464,                 1.5451,              7.225e-05,              7.225e-05,              7.225e-05
                    137,                0.65272,                0.46307,                  1.042,                0.81099,                0.81412,                0.83838,                0.56732,                 1.1759,                0.78133,                 1.5477,             6.8125e-05,             6.8125e-05,             6.8125e-05
                    138,                0.64625,                0.45219,                 1.0379,                0.83345,                0.78838,                0.83485,                0.56664,                 1.1701,                 0.7855,                 1.5422,                6.4e-05,                6.4e-05,                6.4e-05
                    139,                0.64064,                0.44038,                 1.0366,                0.81623,                0.78725,                0.84108,                0.56871,                 1.1779,                0.75969,                 1.5531,             5.9875e-05,             5.9875e-05,             5.9875e-05
                    140,                0.64704,                0.44232,                 1.0434,                0.81986,                0.78748,                0.83592,                0.56242,                 1.1853,                0.78148,                 1.5707,              5.575e-05,              5.575e-05,              5.575e-05
                    141,                0.62479,                0.38506,                 1.0235,                0.83748,                0.76882,                0.83579,                0.56197,                 1.1947,                0.76829,                 1.5749,             5.1625e-05,             5.1625e-05,             5.1625e-05
                    142,                0.60075,                0.36336,                 1.0029,                0.81338,                0.79203,                0.83636,                0.56618,                   1.18,                0.76688,                 1.5611,               4.75e-05,               4.75e-05,               4.75e-05
                    143,                 0.5933,                0.36085,                0.99578,                0.80123,                0.81081,                 0.8414,                0.57138,                 1.1739,                0.76021,                 1.5565,             4.3375e-05,             4.3375e-05,             4.3375e-05
                    144,                0.58967,                0.35358,                 1.0015,                0.78603,                0.82289,                0.84196,                0.56868,                 1.1806,                0.76201,                 1.5594,              3.925e-05,              3.925e-05,              3.925e-05
                    145,                0.58309,                0.36225,                0.99801,                0.79818,                0.81708,                0.83798,                0.56633,                 1.1876,                 0.7666,                 1.5596,             3.5125e-05,             3.5125e-05,             3.5125e-05
                    146,                0.58493,                0.35054,                0.99891,                0.82762,                0.79352,                0.83907,                0.56423,                 1.1908,                0.76624,                 1.5701,                3.1e-05,                3.1e-05,                3.1e-05
                    147,                0.57395,                0.34544,                 0.9877,                0.82408,                0.80347,                0.84361,                0.57069,                 1.1823,                0.75741,                 1.5588,             2.6875e-05,             2.6875e-05,             2.6875e-05
                    148,                0.56975,                0.34592,                0.98657,                0.82326,                0.80171,                0.84136,                0.56856,                 1.1842,                0.76073,                 1.5612,              2.275e-05,              2.275e-05,              2.275e-05
                    149,                0.57173,                0.34782,                0.98165,                0.81334,                 0.8048,                0.83975,                 0.5672,                 1.1866,                0.76648,                 1.5634,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    150,                0.56586,                0.33964,                0.98053,                0.82073,                0.80051,                0.84059,                0.56783,                 1.1925,                0.76582,                 1.5715,               1.45e-05,               1.45e-05,               1.45e-05
